appid,name,release_date,developer,publisher,primary_genre,is_indie,price_usd,positive_ratings,negative_ratings,total_ratings,average_playtime_min,median_playtime_min,platforms
100038,Ashen Frontier 4,2011-09-14,Neon Descent Studio,Devolver Digital,Indie,True,5.63,66,20,86,1080,383,windows;mac
100039,Dark Kingdom,2023-11-28,Indie Collective,Ubisoft,Casual,False,9.43,13793,4740,18533,508,257,windows
100040,Silent Legacy,2022-04-21,Ashen Reckoning Studio,Valve,Action,True,8.9,4975,539,5514,1121,338,windows;mac
100041,Silent Sanctuary,2017-09-02,Annapurna Interactive,Focus Entertainment,Casual,False,8.07,481,309,790,224,129,windows;mac
100042,Rusty Reckoning,2020-09-27,Private Division,Paradox Interactive,Strategy,False,33.91,14307,3993,18300,2001,778,windows;mac;linux
100043,Shadow Colony,2019-05-15,Focus Entertainment,Square Enix,Adventure,False,24.22,7603,1959,9562,1626,1092,windows;linux
100044,Neon Protocol,2021-05-16,Valve,Ubisoft,Casual,False,8.8,50647,18883,69530,395,253,windows;linux
100045,Void Citadel,2016-12-06,Valve,Ubisoft,Strategy,False,28.54,3234,1576,4810,2945,1317,windows;mac;linux
100046,Silent Chronicles,2012-11-12,Square Enix,Paradox Interactive,Free to Play,False,0.0,2624,164,2788,2141,913,windows;mac;linux
100047,Crimson Wanderer,2019-02-22,,Square Enix,Indie,True,5.81,232,10,242,747,378,windows;mac
100048,Dark Colony,2017-04-07,Golden Requiem Studio,Devolver Digital,Indie,True,3.98,501,621,1122,605,221,windows
100049,Neon Requiem 1,2010-05-04,Frozen Requiem Studio,Square Enix,Adventure,True,9.37,326,46,372,1310,878,windows;linux
100050,Rogue Requiem,2021-01-22,Golden Citadel Studio,Devolver Digital,Indie,True,5.88,292,132,424,598,316,windows;mac
100051,Void Citadel,2020-04-19,Crimson Odyssey Studio,Ubisoft,Indie,True,5.29,412,143,555,751,473,windows
100052,Crimson Colony,2024-04-12,Square Enix,Annapurna Interactive,RPG,False,30.61,836,397,1233,4141,1918,windows;mac;linux
100053,Shadow Frontier,2014-11-08,Rogue Requiem Studio,Focus Entertainment,RPG,True,13.8,1402,30,1432,5766,4543,windows
100054,Frozen Uprising,2018-11-24,Team17,505 Games,Adventure,False,20.11,4952,3171,8123,531,362,windows
100055,Eternal Odyssey,2021-05-12,Dark Descent Studio,Devolver Digital,RPG,True,10.39,5268,779,6047,4051,2783,windows;linux
100056,Neon Kingdom,2025-08-02,Raw Fury,Ubisoft,Adventure,False,17.55,3119,239,3358,994,547,windows;mac
100057,Dark Protocol,2025-12-09,Silent Horizon Studio,505 Games,Adventure,True,7.32,237,21,258,917,466,windows
100058,Ashen Kingdom,2020-11-08,Shadow Wanderer Studio,Focus Entertainment,Casual,True,2.56,2,1,3,345,128,windows;mac;linux
100059,Rusty Colony,2020-02-16,Shadow Wanderer Studio,Private Division,Strategy,True,11.25,1571,1254,2825,2317,898,windows
100060,Frozen Descent,2025-08-27,Broken Kingdom 5 Studio,Solo Studio,Indie,True,4.07,110,9,119,1627,1066,windows
100061,Dark Sanctuary,2019-04-22,Annapurna Interactive,Raw Fury,Strategy,False,25.86,9510,3963,13473,3408,1315,windows
100062,Broken Protocol,2016-04-20,Lost Sanctuary Studio,EA,Action,True,8.28,92,32,124,1279,419,windows;mac
100063,Dark Colony,2014-06-18,Void Legacy Studio,Indie Collective,Sports,True,11.59,1119,348,1467,1802,1395,windows
100064,Golden Citadel,2019-10-17,Devolver Digital,Annapurna Interactive,Adventure,False,13.24,895,475,1370,1034,789,windows
100065,Crimson Chronicles,2021-04-11,Focus Entertainment,Annapurna Interactive,RPG,False,26.46,901,353,1254,3697,1584,windows;linux
100066,Eternal Colony,2024-12-17,Focus Entertainment,Solo Studio,Action,False,13.06,1569,44,1613,1963,1360,windows;mac;linux
100067,Rusty Reckoning,2023-05-05,Rogue Sanctuary Studio,Indie Collective,Indie,True,5.1,1340,287,1627,297,209,windows;mac
100068,Shadow Colony,2023-06-07,Iron Requiem Studio,Devolver Digital,Indie,True,4.35,497,98,595,675,428,windows
100069,Rusty Descent,2013-07-15,Silent Kingdom Studio,EA,Action,True,9.43,423,100,523,1299,669,windows;linux
100070,Rusty Citadel,2011-01-09,Void Uprising 1 Studio,Paradox Interactive,Indie,True,6.01,149,47,196,732,364,windows
100071,Broken Horizon,2022-03-16,Broken Frontier Studio,Square Enix,Racing,True,12.85,285,237,522,923,725,windows
100072,Crimson Odyssey,2019-05-06,Shadow Protocol 3 Studio,Ubisoft,Action,True,10.67,32,26,58,1787,1409,windows
100073,Frozen Horizon,2016-03-15,Devolver Digital,Focus Entertainment,Casual,False,11.35,1204,819,2023,326,223,windows
100074,Iron Protocol,2022-11-05,Square Enix,Solo Studio,RPG,False,31.6,231,43,274,5513,2816,windows;mac
100075,Neon Requiem,2024-03-08,505 Games,Private Division,Action,False,22.48,1194,381,1575,2688,1696,windows;linux
100076,Eternal Odyssey,2020-07-07,Indie Collective,EA,Simulation,False,21.02,488,397,885,1948,776,windows
100077,Dark Requiem,2020-11-23,Iron Wanderer Studio,Square Enix,Strategy,True,9.93,205,24,229,3765,2537,windows
100078,Rogue Descent,2023-05-05,Valve,Raw Fury,Adventure,False,12.73,7080,265,7345,1706,1060,windows;linux
100079,Golden Odyssey,2013-09-01,Focus Entertainment,Private Division,Casual,False,8.6,1218,853,2071,118,94,windows;mac;linux
100080,Dark Reckoning,2024-04-13,Neon Odyssey Studio,Team17,Indie,True,5.17,57,8,65,528,338,windows
100081,Golden Kingdom,2017-11-10,Indie Collective,Focus Entertainment,RPG,False,25.98,43748,16407,60155,2165,654,windows;linux
100082,Golden Colony,2019-05-21,EA,Team17,Adventure,False,14.14,3140,1539,4679,1186,594,windows
100083,Frozen Requiem 7,2016-09-12,Solo Studio,Team17,Action,False,25.96,13040,3699,16739,1332,667,windows;mac;linux
100084,Neon Kingdom,2016-05-26,Valve,Devolver Digital,Action,False,36.15,364,35,399,2022,1555,windows
100085,Silent Citadel,2017-11-12,Team17,Focus Entertainment,Strategy,False,24.57,63782,6582,70364,4003,2557,windows
100086,Void Protocol,2018-05-18,EA,Team17,Strategy,False,36.59,1224,199,1423,3490,1572,windows
100087,Void Horizon,2022-08-09,Ashen Protocol Studio,Team17,Simulation,True,9.47,65,19,84,2231,1505,windows;mac;linux
100088,Ashen Protocol,2010-03-10,Dark Wanderer Studio,Solo Studio,Simulation,True,10.69,520,1657,2177,2642,1965,windows
100089,Rogue Uprising,2016-12-04,Broken Reckoning Studio,Square Enix,Sports,True,11.58,21,4,25,1586,976,windows;mac
100090,Eternal Protocol,2017-06-12,Broken Frontier Studio,Devolver Digital,Adventure,True,6.35,387,108,495,926,378,windows;mac
100091,Shadow Citadel,2014-04-10,Annapurna Interactive,Annapurna Interactive,RPG,False,38.05,1234,190,1424,7736,3237,windows
100092,Lost Chronicles,2020-12-15,Focus Entertainment,EA,Adventure,False,22.63,38,64,102,235,91,windows
100093,Crimson Citadel,2021-01-28,Team17,Raw Fury,Strategy,False,0.0,5194,2562,7756,3049,1266,windows
100094,Rusty Uprising,2017-05-08,Ashen Requiem Studio,Focus Entertainment,Free to Play,True,0.0,130,43,173,2724,1094,windows
100095,Iron Sanctuary,2023-12-08,Focus Entertainment,Focus Entertainment,Free to Play,False,0.0,1648,453,2101,1561,726,windows
100096,Broken Requiem,2021-11-05,Iron Odyssey Studio,Team17,Indie,True,4.44,146,64,210,763,552,windows
100097,Shadow Sanctuary 7,2024-01-10,Void Requiem Studio,505 Games,Casual,True,2.76,113,15,128,481,259,windows
100098,Broken Protocol,2023-09-15,Devolver Digital,Annapurna Interactive,Adventure,False,15.96,10412,4161,14573,1217,472,windows;linux
100099,Void Frontier,2009-11-22,Focus Entertainment,Private Division,Action,False,39.25,57553,30254,87807,2148,809,windows
100100,Rogue Reckoning,2025-09-04,505 Games,Team17,Adventure,False,13.98,403,336,739,921,668,windows;mac
100101,Frozen Requiem,2013-09-19,505 Games,Team17,Strategy,False,19.43,2258,345,2603,4309,3345,windows
100102,Lost Horizon,2011-11-16,Void Legacy 5 Studio,Square Enix,Action,True,7.83,281,47,328,1048,655,windows
100103,Broken Chronicles,2021-05-05,Rusty Colony 6 Studio,EA,Indie,True,5.04,122,321,443,549,419,windows
100104,Broken Frontier,2019-02-03,Void Sanctuary Studio,Focus Entertainment,Free to Play,True,0.0,108,93,201,3005,1300,windows;linux
100105,Crimson Requiem,2024-07-05,Ashen Protocol Studio,Square Enix,Indie,True,4.33,699,453,1152,648,321,windows;mac
100106,Dark Protocol,2020-04-19,Neon Citadel Studio,Ubisoft,Indie,True,6.05,1364,118,1482,1260,528,windows;linux
100107,Eternal Odyssey,2015-08-04,Annapurna Interactive,Valve,Strategy,False,23.62,10484,2675,13159,1160,506,windows
100108,Iron Citadel,2018-04-03,Void Citadel Studio,Annapurna Interactive,Indie,True,3.57,229,42,271,1024,698,windows
100109,Broken Protocol,2013-12-28,Frozen Colony 5 Studio,EA,Indie,True,5.8,69,10,79,687,300,windows
100110,Rusty Sanctuary,2024-12-12,Team17,Private Division,Adventure,False,16.96,691,796,1487,1259,539,windows;mac;linux
100111,Silent Legacy,2023-12-09,Ubisoft,Team17,Action,False,27.27,1442,200,1642,1619,900,windows;mac
100112,Void Uprising,2021-05-21,Iron Requiem Studio,Ubisoft,Casual,True,3.37,116,32,148,163,126,windows
100113,Rogue Requiem,2012-08-02,Frozen Reckoning Studio,Focus Entertainment,Casual,True,3.82,220,27,247,337,163,windows
100114,Ashen Colony,2017-04-18,Ashen Requiem Studio,Valve,Indie,True,4.66,323,159,482,668,465,windows;mac
100115,Frozen Kingdom,2023-01-15,Indie Collective,505 Games,Action,False,34.34,7202,751,7953,2178,1590,windows
100116,Neon Horizon,2024-03-20,Frozen Kingdom 5 Studio,Solo Studio,Strategy,True,9.42,372,18,390,2899,1925,windows;linux
100117,Rusty Legacy,2020-10-16,Indie Collective,Raw Fury,Adventure,False,24.49,8148,3208,11356,979,536,windows
100118,Neon Legacy,2016-02-06,Ashen Chronicles 7 Studio,Focus Entertainment,Action,True,10.44,702,253,955,2054,995,windows
100119,Eternal Sanctuary,2012-12-25,Shadow Uprising Studio,Paradox Interactive,Indie,True,6.0,44,22,66,802,637,windows
100120,Dark Uprising 2,2019-01-11,Ubisoft,Solo Studio,RPG,False,30.9,1116,476,1592,3931,2543,windows
100121,Lost Citadel,2011-02-10,EA,Focus Entertainment,Action,False,20.05,2083,3002,5085,911,329,windows;mac
100122,Golden Legacy,2021-09-09,Solo Studio,Annapurna Interactive,Casual,False,9.95,3614,5596,9210,227,75,windows
100123,Silent Colony,2012-03-02,EA,Square Enix,Action,False,30.97,38869,5429,44298,921,582,windows;mac;linux
100124,Ashen Frontier,2020-11-17,Ashen Legacy Studio,Team17,Indie,True,3.64,109,51,160,562,197,windows;mac;linux
100125,Rusty Protocol,2023-05-17,Broken Odyssey Studio,EA,RPG,True,13.18,76,59,135,3498,1387,windows
100126,Crimson Kingdom,2019-11-22,Frozen Descent Studio,Paradox Interactive,Indie,True,5.9,67,62,129,872,502,windows
100127,Ashen Requiem,2011-08-27,Square Enix,Raw Fury,Sports,False,47.57,5675,281,5956,1560,644,windows
100128,Silent Wanderer,2024-02-13,Golden Chronicles Studio,Paradox Interactive,Indie,True,6.23,6130,292,6422,876,682,windows
100129,Lost Reckoning,2020-07-25,Ashen Frontier 4 Studio,Team17,Adventure,True,9.61,158,73,231,245,108,windows
100130,Golden Legacy,2021-01-10,Team17,Private Division,RPG,False,17.64,12795,1670,14465,4895,2985,windows;mac;linux
100131,Iron Colony,2016-05-01,Square Enix,Square Enix,Action,False,21.81,377,100,477,1239,937,windows
100132,Rogue Requiem,2020-12-20,Eternal Citadel Studio,Devolver Digital,Indie,True,3.59,403,81,484,765,418,windows
100133,Lost Uprising,2016-11-17,Private Division,Focus Entertainment,Casual,False,8.66,1316,3718,5034,264,162,windows
100134,Lost Requiem,2023-12-17,Golden Requiem Studio,505 Games,Simulation,True,11.56,175,48,223,3121,2206,windows;linux
100135,Iron Sanctuary,2019-11-12,Dark Sanctuary Studio,Square Enix,Action,True,8.47,691,63,754,1529,763,windows
100136,Dark Wanderer 4,2024-04-05,Void Protocol Studio,Solo Studio,Strategy,True,12.07,99,17,116,3291,2428,windows
100137,Rusty Protocol,2022-09-15,Neon Horizon Studio,Team17,Indie,True,4.66,276,135,411,1466,621,windows;mac;linux
100138,Shadow Requiem,2021-07-15,Silent Reckoning Studio,Valve,Free to Play,True,0.0,455,46,501,2100,1567,windows;mac
100139,Iron Legacy,2022-02-17,Crimson Colony Studio,Team17,Adventure,True,5.67,983,177,1160,518,163,windows;mac;linux
100140,Void Odyssey,2022-07-15,Ubisoft,Ubisoft,Simulation,False,32.25,532,132,664,212,80,windows;mac;linux
100141,Dark Uprising,2020-01-03,Ashen Colony Studio,Focus Entertainment,Indie,True,3.9,11,13,24,517,294,windows
100142,Lost Reckoning,2018-09-15,Raw Fury,Paradox Interactive,Simulation,False,35.5,572,120,692,3797,1488,windows
100143,Dark Uprising,2017-10-17,Eternal Wanderer Studio,Annapurna Interactive,Action,True,9.6,4564,551,5115,2337,958,windows
100144,Silent Horizon,2022-06-08,Square Enix,505 Games,Simulation,False,16.03,56541,14994,71535,3049,2084,windows
100145,Golden Citadel,2024-06-13,Dark Uprising Studio,Ubisoft,Indie,True,4.79,1741,536,2277,775,280,windows
100146,Iron Odyssey,2016-08-04,Broken Kingdom Studio,EA,Action,True,9.4,494,35,529,2358,968,windows
100147,Silent Chronicles,2013-02-11,Indie Collective,Valve,RPG,False,27.98,1377,505,1882,3578,2804,windows;linux
100148,Ashen Requiem,2020-04-05,Private Division,EA,Action,False,25.96,292,53,345,968,621,windows
100149,Eternal Kingdom,2024-09-26,Frozen Horizon Studio,Devolver Digital,Indie,True,4.91,169,90,259,636,244,windows;mac;linux
100150,Rusty Odyssey,2024-12-23,Annapurna Interactive,Team17,Action,False,18.03,45,6,51,1349,620,windows;mac
100151,Lost Descent,2020-05-23,Neon Sanctuary Studio,Valve,RPG,True,13.65,929,357,1286,6114,2571,windows
100152,Void Citadel,2021-01-14,Rusty Descent Studio,Indie Collective,Simulation,True,10.38,163,16,179,4175,2869,windows
100153,Dark Descent,2017-11-20,Team17,Annapurna Interactive,Casual,False,8.25,338,11,349,426,184,windows;mac
100154,Frozen Citadel,2025-05-04,Lost Colony Studio,Ubisoft,Action,True,10.7,32,7,39,1957,1320,windows;linux
100155,Crimson Frontier,2021-03-25,Raw Fury,EA,Action,False,21.06,2367,1006,3373,2964,1550,windows
100156,Lost Citadel,2022-02-25,Indie Collective,Solo Studio,Action,False,27.69,4530,6236,10766,1377,630,windows
100157,Broken Odyssey,2025-07-04,Indie Collective,Ubisoft,Casual,False,4.89,4202,337,4539,390,248,windows;mac
100158,Lost Legacy,2022-08-19,Crimson Kingdom Studio,Paradox Interactive,Indie,True,4.85,228,62,290,1110,585,windows
100159,Frozen Legacy,2013-09-02,Valve,EA,Sports,False,48.73,32137,12976,45113,998,712,windows;mac
100160,Neon Kingdom 7,2018-09-23,Shadow Frontier Studio,Valve,Action,True,8.11,109,20,129,1281,475,windows
100161,Rusty Frontier,2022-03-16,Valve,Valve,RPG,False,24.87,21476,4329,25805,2394,926,windows
100162,Iron Kingdom 2,2010-03-16,Silent Citadel Studio,Private Division,Action,True,11.19,1882,505,2387,1954,1481,windows
100163,Rusty Frontier,2022-12-23,Void Horizon Studio,Private Division,Action,True,10.54,88,46,134,2051,1394,windows;mac;linux
100164,Iron Horizon,2014-02-15,Solo Studio,Devolver Digital,RPG,False,19.36,1843,251,2094,3380,1520,windows;mac
100165,Shadow Protocol,2021-05-12,Valve,Square Enix,Casual,False,6.27,9814,8802,18616,188,63,windows
100166,Iron Wanderer,2025-04-17,Annapurna Interactive,Devolver Digital,Strategy,False,34.92,3360,1334,4694,3547,1552,windows
100167,Rusty Requiem 7,2018-08-18,Rogue Horizon Studio,Raw Fury,Adventure,True,7.85,1316,279,1595,1225,944,windows;mac
100168,Ashen Descent,2024-01-23,Annapurna Interactive,Private Division,Action,False,27.43,1798,788,2586,1763,911,windows;mac;linux
100169,Crimson Legacy,2020-07-07,Shadow Odyssey Studio,Ubisoft,Indie,True,6.33,206,38,244,588,329,windows
100170,Silent Wanderer,2023-04-11,Ubisoft,Paradox Interactive,RPG,False,17.75,77,47,124,2800,1285,windows;mac
100171,Neon Colony,2022-08-12,Frozen Chronicles Studio,Focus Entertainment,Indie,True,4.82,58248,256057,314305,1388,1056,windows
100172,Golden Uprising,2022-12-07,Broken Sanctuary Studio,Valve,Indie,True,3.58,1371,52,1423,1177,844,windows;mac;linux
100173,Crimson Frontier,2014-07-16,Eternal Descent Studio,Ubisoft,Adventure,True,5.49,45,17,62,1350,636,windows
100174,Crimson Requiem,2021-02-26,Raw Fury,EA,Sports,False,24.0,1064,476,1540,937,300,windows;mac;linux
100175,Iron Citadel,2022-10-16,Rusty Requiem Studio,Valve,Strategy,True,8.05,23,7,30,5157,3582,windows;mac;linux
100176,Lost Frontier,2025-10-13,Broken Reckoning Studio,Focus Entertainment,Indie,True,4.84,218,130,348,1066,766,windows;mac
100177,Shadow Chronicles,2021-12-01,Iron Requiem Studio,Valve,Indie,True,6.06,6952,2510,9462,869,508,windows;mac
100178,Silent Colony,2025-08-20,505 Games,Indie Collective,Simulation,False,38.77,5665,1734,7399,4361,1547,windows
100179,Crimson Horizon,2011-06-28,Focus Entertainment,Raw Fury,Action,False,19.66,1479,156,1635,1725,986,windows
100180,Golden Horizon,2023-06-25,Ubisoft,Devolver Digital,Adventure,False,17.49,2834,1036,3870,1477,815,windows
100181,Ashen Frontier,2018-12-06,Indie Collective,Annapurna Interactive,Casual,False,6.17,1627,1395,3022,438,299,windows
100182,Lost Citadel,2023-05-09,Devolver Digital,Solo Studio,Simulation,False,24.91,6101,3078,9179,2437,1341,windows;linux
100183,Broken Uprising,2016-01-10,Rogue Descent Studio,505 Games,Indie,True,4.48,225,60,285,994,777,windows;mac;linux
100184,Frozen Odyssey 3,2016-09-06,Private Division,Valve,Casual,False,11.67,352,294,646,280,122,windows;mac;linux
100185,Golden Protocol,2017-06-25,Paradox Interactive,Raw Fury,Strategy,False,21.05,1802,520,2322,2542,1032,windows;mac;linux
100186,Void Colony,2014-09-28,Eternal Horizon 5 Studio,Valve,Indie,True,5.22,355,83,438,1251,732,windows
100187,Golden Uprising,2025-06-17,Rogue Kingdom Studio,505 Games,Action,True,9.28,30,34,64,938,303,windows
100188,Frozen Frontier,2022-07-23,Dark Colony Studio,Paradox Interactive,Action,True,11.4,2670,837,3507,2046,1434,windows
100189,Broken Odyssey,2017-11-16,Annapurna Interactive,Square Enix,Simulation,False,34.26,1894,811,2705,3810,2658,windows
100190,Rogue Horizon,2017-11-25,Iron Kingdom Studio,Raw Fury,Adventure,True,6.64,194,62,256,1135,498,windows;linux
100191,Iron Colony,2023-11-15,Frozen Sanctuary 3 Studio,Private Division,Indie,True,0.0,879,95,974,1045,570,windows;mac;linux
100192,Void Kingdom 4,2020-09-26,Private Division,Square Enix,Simulation,False,23.19,1497,518,2015,2502,1562,windows
100193,Broken Odyssey,2015-04-08,Neon Uprising Studio,Solo Studio,Indie,True,3.97,1183,654,1837,1169,386,windows
100194,Rusty Kingdom,2010-09-16,Devolver Digital,Square Enix,Strategy,False,25.41,2567,1664,4231,1088,484,windows;mac
100195,Silent Wanderer,2021-07-19,Rogue Wanderer Studio,EA,Indie,True,5.32,7838,649,8487,1022,494,windows
100196,Lost Kingdom,2010-11-19,Eternal Wanderer Studio,Devolver Digital,Strategy,True,10.42,436,15,451,2590,921,windows
100197,Golden Citadel,2024-06-20,Solo Studio,Annapurna Interactive,Action,False,31.45,62,29,91,1485,833,windows;mac
100198,Silent Uprising,2023-04-22,Dark Wanderer Studio,Focus Entertainment,Action,True,10.18,304,103,407,1509,810,windows
100199,Iron Protocol,2024-07-05,Private Division,Valve,RPG,False,31.85,5391,1267,6658,2223,1233,windows
100200,Neon Kingdom,2012-12-06,Raw Fury,505 Games,RPG,False,27.51,880,650,1530,1838,1419,windows
100201,Iron Reckoning,2018-08-15,Rusty Sanctuary Studio,Indie Collective,Sports,True,16.75,136,95,231,662,246,windows
100202,Dark Uprising,2019-01-02,Team17,Valve,Adventure,False,14.72,205,28,233,1413,591,windows
100203,Ashen Wanderer,2023-05-07,Paradox Interactive,Team17,Action,False,20.69,5481,2182,7663,1464,852,windows
100204,Silent Wanderer,2018-06-12,Lost Chronicles Studio,Valve,Strategy,True,13.54,172,97,269,4431,2748,windows
100205,Eternal Colony,2014-11-19,Ubisoft,Annapurna Interactive,Simulation,False,20.1,3747,567,4314,2119,1513,windows
100206,Broken Uprising,2015-06-17,Private Division,Annapurna Interactive,Simulation,False,21.91,1361,680,2041,3176,998,windows;mac
100207,Lost Chronicles,2022-07-03,Paradox Interactive,Team17,Adventure,False,24.02,2773,621,3394,894,351,windows
100208,Void Reckoning,2022-06-16,Private Division,Ubisoft,Strategy,False,31.87,540,76,616,3049,1677,windows
100209,Rogue Requiem,2025-08-16,Void Descent Studio,Devolver Digital,Indie,True,6.15,589,466,1055,778,517,windows
100210,Broken Reckoning 1,2019-01-01,505 Games,Indie Collective,Casual,False,6.0,373,74,447,484,259,windows
100211,Silent Descent,2017-07-25,Lost Protocol Studio,Ubisoft,Adventure,True,7.03,849,242,1091,803,640,windows;mac
100212,Eternal Reckoning,2014-11-20,,Raw Fury,RPG,False,38.74,26420,2532,28952,4960,3560,windows
100213,Ashen Legacy 4,2023-02-24,,Focus Entertainment,Action,True,10.68,349,153,502,1167,558,windows
100214,Ashen Odyssey,2009-09-21,EA,505 Games,Racing,False,16.73,12680,3243,15923,794,528,windows
100215,Rogue Frontier 6,2023-12-24,Team17,Square Enix,Casual,False,8.67,1641,2893,4534,184,72,windows;mac;linux
100216,Rogue Uprising,2025-01-21,Devolver Digital,Paradox Interactive,Adventure,False,19.59,53818,34068,87886,712,520,windows
100217,Broken Uprising,2008-12-10,Golden Odyssey Studio,Devolver Digital,Indie,True,5.34,220,30,250,1144,380,windows;mac;linux
100218,Dark Uprising,2020-04-20,Devolver Digital,505 Games,RPG,False,36.35,243,39,282,4842,2078,windows
100219,Shadow Wanderer 3,2023-08-26,Ubisoft,Valve,Simulation,False,18.61,582,492,1074,3298,2538,windows
100220,Rogue Reckoning,2023-11-04,Lost Colony Studio,Valve,Action,True,7.74,357,200,557,1838,719,windows
100221,Lost Odyssey,2022-09-07,Rusty Uprising Studio,Focus Entertainment,Sports,True,15.37,713,146,859,1682,604,windows;mac
100222,Frozen Chronicles,2020-10-09,Square Enix,Team17,Action,False,0.0,275,295,570,1308,731,windows
100223,Crimson Colony,2023-06-22,Frozen Kingdom Studio,Team17,Strategy,True,8.18,395,46,441,3693,1793,windows
100224,Silent Kingdom,2018-10-19,Dark Reckoning Studio,Devolver Digital,Action,True,10.68,452,43,495,1616,733,windows;mac
